3 4 4
4 9 9
5 21 21
6 25 23
7 105 105
8 221 216
9 812 791
10 1065 1051
11 370 350
12 426 410
3 4 4
4 10 10
5 21 20
6 37 37
7 68 66
8 225 217
9 485 431
10 519 504
11 3439 3275
12 2403 2083
3 4 4
4 6 6
5 21 21
6 38 36
7 193 190
8 177 171
9 318 291
10 600 586
11 3015 2824
12 5658 5646
3 4 4
4 5 5
5 19 19
6 55 51
7 87 87
8 583 577
9 691 652
10 1641 1622
11 1915 1752
12 5834 5743
3 3 3
4 10 10
5 26 26
6 86 84
7 50 45
8 634 599
9 429 429
10 1796 1635
11 269 256
12 3146 2972
3 4 4
4 11 10
5 23 23
6 81 81
7 143 141
8 78 73
9 521 519
10 194 189
11 2742 2611
12 2880 2731
