3 1.7e-05
4 1.1e-05
5 4.8e-05
6 2.2e-05
7 9.9e-05
8 0.000276
9 0.001059
10 0.001581
11 0.000804
12 0.001167
3 3e-06
4 7e-06
5 2.7e-05
6 3.3e-05
7 7e-05
8 0.000252
9 0.000552
10 0.000887
11 0.005078
12 0.004685
3 3e-06
4 8e-06
5 1.5e-05
6 3.1e-05
7 0.000161
8 0.000207
9 0.000714
10 0.000932
11 0.004867
12 0.011325
3 9e-06
4 5e-06
5 1.4e-05
6 4.1e-05
7 8.6e-05
8 0.000575
9 0.000986
10 0.002509
11 0.003149
12 0.011644
3 3e-06
4 7e-06
5 1.7e-05
6 6.9e-05
7 5.5e-05
8 0.000496
9 0.000561
10 0.003233
11 0.000655
12 0.0065
3 3e-06
4 1.2e-05
5 1.6e-05
6 5.6e-05
7 0.000131
8 0.000109
9 0.0007
10 0.000408
11 0.004925
12 0.005961
