3 1.3e-05
4 4e-05
5 0.000208
6 0.000139
7 0.000842
8 0.003183
9 0.017378
10 0.03881
11 0.038604
12 0.098892
3 8e-06
4 2.5e-05
5 7.9e-05
6 0.000272
7 0.000761
8 0.00283
9 0.005693
10 0.017485
11 0.088732
12 0.116607
3 1e-05
4 1.9e-05
5 8.3e-05
6 0.00021
7 0.001215
8 0.002989
9 0.005249
10 0.031463
11 0.135848
12 1.16301
3 8e-06
4 1.7e-05
5 7.8e-05
6 0.000293
7 0.001097
8 0.00636
9 0.008752
10 0.088861
11 0.028426
12 0.728728
3 1e-05
4 2.5e-05
5 8.5e-05
6 0.000456
7 0.000429
8 0.009897
9 0.015436
10 0.060653
11 0.025439
12 0.380776
3 1.1e-05
4 3e-05
5 9.2e-05
6 0.000362
7 0.001055
8 0.001949
9 0.013716
10 0.009743
11 0.173247
17 31.3369
