17
-1.000 858.746 726.409 379.698 476.461 832.996 104.811 406.002 791.236 730.849 700.498 14.235 918.208 227.838 882.087 106.522 895.421 
858.746 -1.000 689.645 33.417 497.819 114.498 252.359 833.515 928.687 716.128 972.828 812.503 618.388 992.549 877.635 196.279 258.872 
726.409 689.645 -1.000 642.915 261.205 328.848 269.610 630.371 357.049 72.289 978.874 153.328 241.264 347.257 876.941 644.511 357.956 
379.698 33.417 642.915 -1.000 812.877 506.749 861.210 458.175 979.138 723.506 834.127 511.236 464.734 437.379 181.861 826.072 803.981 
476.461 497.819 261.205 812.877 -1.000 119.173 556.008 124.341 288.337 279.422 718.470 747.451 102.526 931.536 761.157 613.988 975.396 
832.996 114.498 328.848 506.749 119.173 -1.000 491.702 32.315 135.554 715.094 171.426 328.619 606.084 424.257 204.598 35.710 234.053 
104.811 252.359 269.610 861.210 556.008 491.702 -1.000 493.343 621.187 676.179 103.001 854.070 150.487 682.164 628.152 441.724 916.564 
406.002 833.515 630.371 458.175 124.341 32.315 493.343 -1.000 114.409 546.648 412.211 834.013 453.059 900.628 879.399 205.352 745.119 
791.236 928.687 357.049 979.138 288.337 135.554 621.187 114.409 -1.000 468.709 653.969 184.744 208.871 694.220 769.954 801.601 202.660 
730.849 716.128 72.289 723.506 279.422 715.094 676.179 546.648 468.709 -1.000 305.503 320.300 37.236 346.861 462.849 627.538 47.205 
700.498 972.828 978.874 834.127 718.470 171.426 103.001 412.211 653.969 305.503 -1.000 131.590 359.215 917.817 796.139 235.655 377.699 
14.235 812.503 153.328 511.236 747.451 328.619 854.070 834.013 184.744 320.300 131.590 -1.000 348.840 767.757 936.779 396.916 394.099 
918.208 618.388 241.264 464.734 102.526 606.084 150.487 453.059 208.871 37.236 359.215 348.840 -1.000 872.961 464.985 656.539 329.254 
227.838 992.549 347.257 437.379 931.536 424.257 682.164 900.628 694.220 346.861 917.817 767.757 872.961 -1.000 646.766 347.258 15.423 
882.087 877.635 876.941 181.861 761.157 204.598 628.152 879.399 769.954 462.849 796.139 936.779 464.985 646.766 -1.000 204.807 621.612 
106.522 196.279 644.511 826.072 613.988 35.710 441.724 205.352 801.601 627.538 235.655 396.916 656.539 347.258 204.807 -1.000 31.577 
895.421 258.872 357.956 803.981 975.396 234.053 916.564 745.119 202.660 47.205 377.699 394.099 329.254 15.423 621.612 31.577 -1.000 
