3 4 4
4 14 14
5 46 39
6 98 74
7 649 468
8 1863 1380
9 12274 7961
10 34897 20168
11 26080 11114
12 93432 45742
3 4 4
4 13 12
5 45 34
6 170 133
7 523 340
8 2255 1536
9 6450 2413
10 13533 7930
11 80679 43395
12 98630 41527
3 4 4
4 12 11
5 53 46
6 129 88
7 754 596
8 1988 1212
9 4123 2217
10 21307 15664
11 86903 35359
12 800581 622553
3 4 4
4 11 10
5 48 42
6 168 99
7 658 484
8 3970 2787
9 7807 4345
10 50065 31661
11 49795 22310
12 434572 277196
3 4 4
4 15 11
5 52 48
6 249 212
7 317 169
8 3334 2224
9 10083 6854
10 36960 18873
11 17918 8592
12 233247 93780
3 4 4
4 13 11
5 55 55
6 206 184
7 611 411
8 1349 709
9 8214 5497
10 6299 3544
11 92724 55213
12 183251 86918
