3 3 3
4 5 5
5 25 24
6 23 21
7 175 168
8 326 306
9 3074 2532
10 3790 3408
11 2334 1910
12 9687 7539
3 2 2
4 9 9
5 25 21
6 56 55
7 200 177
8 385 358
9 1548 948
10 1878 1616
11 9359 8371
12 9916 6945
3 3 3
4 8 8
5 25 25
6 59 49
7 285 268
8 406 361
9 848 659
10 1480 1408
11 14226 10344
12 42570 41632
3 2 2
4 7 6
5 20 20
6 77 62
7 212 189
8 905 872
9 1572 1335
10 4568 4392
11 6596 4909
12 21333 20084
3 2 2
4 13 11
5 27 27
6 124 115
7 76 60
8 927 841
9 1453 1400
10 5130 3971
11 1504 1267
12 24006 16828
3 2 2
4 12 11
5 31 31
6 101 97
7 206 193
8 319 274
9 2616 2183
10 635 550
11 9172 7927
12 12996 10153
