3 2 2
4 7 7
5 20 19
6 5 5
7 76 74
8 142 141
9 579 573
10 511 510
11 246 243
12 143 139
3 2 2
4 8 7
5 18 17
6 30 30
7 65 62
8 125 124
9 182 181
10 350 347
11 1419 1418
12 1009 1001
3 3 2
4 6 5
5 17 17
6 32 31
7 138 137
8 123 122
9 275 260
10 360 356
11 1761 1760
12 2386 2385
3 2 2
4 3 3
5 16 15
6 43 42
7 81 80
8 477 476
9 353 352
10 1383 1382
11 212 211
12 3652 3651
3 2 2
4 9 9
5 25 24
6 77 76
7 34 32
8 494 492
9 354 353
10 1364 1363
11 251 242
12 2219 2217
3 2 2
4 10 9
5 22 22
6 53 52
7 120 119
8 72 69
9 366 365
10 188 184
11 2217 2216
17 13236 13234
