3 2.8e-05
4 8e-06
5 9.8e-05
6 2.6e-05
7 0.000189
8 0.000421
9 0.003628
10 0.00437
11 0.003993
12 0.010594
3 4e-06
4 1.5e-05
5 3.5e-05
6 6.3e-05
7 0.000226
8 0.000437
9 0.001693
10 0.002227
11 0.008304
12 0.011354
3 8e-06
4 1e-05
5 3e-05
6 7.2e-05
7 0.000314
8 0.000633
9 0.001032
10 0.001609
11 0.020517
12 0.049366
3 4e-06
4 9e-06
5 2.6e-05
6 0.000107
7 0.000269
8 0.001145
9 0.001395
10 0.007185
11 0.002652
12 0.034773
3 1.8e-05
4 1.9e-05
5 3.2e-05
6 0.00015
7 8.7e-05
8 0.001766
9 0.002047
10 0.008496
11 0.002293
12 0.043943
3 5e-06
4 2.6e-05
5 3.6e-05
6 9.1e-05
7 0.000271
8 0.00041
9 0.003978
10 0.000887
11 0.015822
12 0.014778
17 1.24044
