3 2.6e-05
4 2.1e-05
5 0.000195
6 0.000162
7 0.000948
8 0.003143
9 0.021794
10 0.033317
11 0.036682
12 0.148939
3 9e-06
4 2e-05
5 6.9e-05
6 0.000262
7 0.000854
8 0.002552
9 0.004266
10 0.017404
11 0.117627
12 0.141495
3 9e-06
4 2.3e-05
5 8.6e-05
6 0.000181
7 0.001456
8 0.002817
9 0.004624
10 0.051106
11 0.123326
12 1.39443
3 8e-06
4 1.7e-05
5 7.3e-05
6 0.000242
7 0.001238
8 0.00593
9 0.009336
10 0.100789
11 0.026676
12 1.34707
3 8e-06
4 2.5e-05
5 8.3e-05
6 0.000392
7 0.00043
8 0.007371
9 0.01235
10 0.058329
11 0.029704
12 0.4076
3 9e-06
4 2.1e-05
5 9e-05
6 0.000333
7 0.00092
8 0.002078
9 0.017058
10 0.008148
11 0.183776
12 0.239192
17 32.3503
