3 8e-06
4 5e-06
5 4.1e-05
6 1.9e-05
7 0.000104
8 0.000283
9 0.001797
10 0.003024
11 0.002534
12 0.011115
3 2e-06
4 5e-06
5 2.1e-05
6 3.2e-05
7 0.00011
8 0.000283
9 0.000862
10 0.001586
11 0.007942
12 0.009278
3 3e-06
4 8e-06
5 1.3e-05
6 3.1e-05
7 0.000146
8 0.000276
9 0.000572
10 0.001382
11 0.010507
12 0.048737
3 3e-06
4 4e-06
5 1.8e-05
6 3.9e-05
7 0.000117
8 0.000522
9 0.001047
10 0.003467
11 0.005415
12 0.024582
3 2e-06
4 7e-06
5 1.5e-05
6 6.7e-05
7 5.3e-05
8 0.000579
9 0.001155
10 0.004067
11 0.001724
12 0.023044
3 1e-05
4 1.1e-05
5 1.8e-05
6 5e-05
7 0.000156
8 0.000235
9 0.001788
10 0.000646
11 0.00923
12 0.014238
