3 4 2
4 14 9
5 46 31
6 98 70
7 511 354
8 1617 1255
9 10492 6653
10 23015 13510
11 22710 12334
12 49906 29741
3 4 2
4 13 8
5 45 30
6 170 123
7 523 335
8 1699 1140
9 3651 1280
10 9796 6507
11 50919 28494
12 64606 34323
3 4 2
4 12 9
5 53 39
6 117 82
7 666 498
8 1771 1064
9 3647 1943
10 16528 12631
11 66892 39894
12 510902 399171
3 4 2
4 11 8
5 48 34
6 161 118
7 652 452
8 3734 2424
9 5581 3120
10 48231 31350
11 14910 9272
12 323612 222679
3 4 2
4 15 9
5 52 36
6 247 161
7 317 163
8 3003 1900
9 9218 6155
10 33714 18211
11 17918 8561
12 205210 92431
3 4 2
4 13 8
5 55 38
6 189 135
7 560 363
8 1349 688
9 7152 4597
10 6291 3530
11 85598 53889
17 12776062 5818010
